twic_number,n_games,start_date,end_date,pct_online,unique_players
1000,1709,2013-12-07,2014-01-06,0.0,1010
1001,1760,2013-12-26,2014-01-13,0.0005681818181818,1150
1002,1145,2013-11-02,2014-01-20,0.0,698
1003,995,2013-10-04,2014-01-26,0.0,676
1004,1811,2014-01-17,2014-02-03,0.0,958
1005,3604,2013-12-07,2014-02-10,0.0002774694783573,1819
1006,1237,2013-11-03,2014-02-17,0.0,1190
1007,1153,2014-02-09,2014-02-24,0.0,893
1008,1568,2013-09-08,2014-03-03,0.0,1225
1009,3726,2013-09-21,2014-03-10,0.0,1951
1010,2880,2014-01-25,2014-03-17,0.0,1494
1011,2279,2014-03-06,2014-03-24,0.0,1516
1012,2013,2013-03-23,2014-03-31,0.0,1493
1013,2901,2014-03-14,2014-04-07,0.0,1691
1014,1575,2014-03-28,2014-04-14,0.0,1176
1015,2745,2014-03-31,2014-04-21,0.0,1675
1016,2020,2014-04-05,2014-04-28,0.0,795
1017,1827,2014-03-02,2014-05-05,0.0,878
1018,1999,2014-03-16,2014-05-12,0.0,1139
1019,1821,2014-04-12,2014-05-19,0.0,885
1020,1573,2014-05-12,2014-05-26,0.0,812
1021,2455,2014-05-03,2014-06-02,0.0,1213
1022,2143,2014-05-05,2014-06-09,0.0,1054
1023,1823,2014-06-06,2014-06-16,0.0,1037
1024,3251,2014-06-07,2014-06-23,0.0,942
1025,2812,2014-06-15,2014-06-30,0.0,1435
1026,4228,2014-06-20,2014-07-07,0.0,1987
1027,3685,2014-06-20,2014-07-14,0.0,1979
1028,4694,2014-06-28,2014-07-21,0.0,2285
1029,5280,2014-06-18,2014-07-28,0.0,2247
1030,3610,2014-07-12,2014-08-04,0.0,2651
1031,5019,2014-07-27,2014-08-11,0.0,2331
1032,4562,2014-07-10,2014-08-18,0.0,3033
1033,4433,2014-08-11,2014-08-25,0.0,1980
1034,3336,2014-07-26,2014-09-01,0.0107913669064748,1755
1037,1240,2014-09-08 00:00:00,2014-09-22 00:00:00,0.0290322580645161,833
1038,3440,2014-07-07 00:00:00,2014-09-29 00:00:00,0.0104651162790697,1348
1041,2699,2014-09-28 00:00:00,2014-10-20 00:00:00,0.0059281215264912,1784
1042,2657,2014-10-18 00:00:00,2014-10-27 00:00:00,0.0135491155438464,1290
1043,3778,2014-10-02 00:00:00,2014-11-03 00:00:00,0.0095288512440444,2305
1044,1088,2014-10-25 00:00:00,2014-11-10 00:00:00,0.0073529411764705,902
1045,1700,2014-10-19 00:00:00,2014-11-17 00:00:00,0.0094117647058823,1201
1046,2542,2014-10-18 00:00:00,2014-11-24 00:00:00,0.005507474429583,1487
1047,1572,2014-11-23 00:00:00,2014-12-01 00:00:00,0.0,955
1048,1533,2014-11-16 00:00:00,2014-12-08 00:00:00,0.0058708414872798,1028
1049,4509,2014-09-27 00:00:00,2014-12-16 00:00:00,0.0024395653138168,2073
1050,2753,2014-11-14 00:00:00,2014-12-22 00:00:00,0.0,1072
1051,3139,2014-12-15 00:00:00,2014-12-29 00:00:00,0.0203886588085377,1424
1052,2795,2014-10-19 00:00:00,2015-01-04 00:00:00,0.0,1633
1053,3023,2014-12-26 00:00:00,2015-01-12 00:00:00,0.0,1848
1054,2837,2014-05-06 00:00:00,2015-01-19 00:00:00,0.0,1392
1055,1688,2014-12-25 00:00:00,2015-01-26 00:00:00,0.0,938
1056,2398,2014-12-05 00:00:00,2015-02-02 00:00:00,0.0,1082
1057,3543,2015-01-25 00:00:00,2015-02-09 00:00:00,0.0,1422
1058,2458,2014-10-25 00:00:00,2015-02-16 00:00:00,0.0,1710
1059,2816,2014-11-21 00:00:00,2015-02-23 00:00:00,0.0,1444
1060,1920,2015-02-15 00:00:00,2015-03-02 00:00:00,0.0,1508
